"site_no","SAMPLE_DATE","Dec_Lat","Dec_Long","AP","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT"
423236075540301,2014-08-04,42.543417,-75.900806,"N","SODIUM",24800,"ug/L"
423236075540301,2019-09-30,42.543417,-75.900806,"N","SODIUM",21600,"ug/L"
423247078145101,2020-08-31,42.54645,-78.247533,"N","SODIUM",4600,"ug/L"
423247078145101,2020-08-31,42.54645,-78.247533,"N","SODIUM",4330,"ug/L"
423254076355401,2017-12-19,42.54815,-76.598319,"N","SODIUM",7970,"ug/L"
423303077485101,2020-09-01,42.551097,-77.766239,"N","SODIUM",75200,"ug/L"
423308073503801,2013-07-09,42.552333,-73.843833,"N","SODIUM",89000,"ug/L"
423324074061601,2021-09-22,42.556889,-74.104581,"N","SODIUM",114000,"ug/L"
423355073211301,2013-07-08,42.565111,-73.353556,"N","SODIUM",980,"ug/L"
423415078563901,2016-12-06,42.5734,-78.9442,"N","SODIUM",36300,"ug/L"
423523076220902,2017-12-18,42.589609,-76.368841,"N","SODIUM",83900,"ug/L"
423600078041001,2020-08-31,42.600267,-78.069633,"N","SODIUM",3350,"ug/L"
423603076481801,2017-10-31,42.600669,-76.804927,"N","SODIUM",18500,"ug/L"
423617074342201,2021-09-23,42.604833,-74.572861,"N","SODIUM",22400,"ug/L"
423619077141001,2018-09-11,42.60525,-77.236083,"N","SODIUM",39300,"ug/L"
423627077281701,2017-11-08,42.607502,-77.471205,"N","SODIUM",89800,"ug/L"
423629078590801,2016-11-14,42.608158,-78.985663,"N","SODIUM",33400,"ug/L"
423650079010601,2021-07-29,42.613889,-79.01825,"N","SODIUM",5e+05,"ug/L"
423710076015301,2014-07-22,42.619472,-76.031528,"N","SODIUM",80600,"ug/L"
423714075193701,2019-10-30,42.620556,-75.326944,"N","SODIUM",10800,"ug/L"
423718074401501,2014-07-29,42.621778,-74.670778,"N","SODIUM",64700,"ug/L"
423718074401501,2019-10-22,42.621778,-74.670778,"N","SODIUM",70700,"ug/L"
423729074070301,2016-10-24,42.62536,-74.11731,"N","SODIUM",17500,"ug/L"
423731075193901,2014-08-11,42.621528,-75.326278,"N","SODIUM",7810,"ug/L"
423808076015401,2019-09-30,42.635444,-76.031639,"N","SODIUM",27800,"ug/L"
423825078320601,2016-12-05,42.640207,-78.535123,"N","SODIUM",24200,"ug/L"
423855073544601,2013-07-10,42.648222,-73.912194,"N","SODIUM",17500,"ug/L"
423901075362101,2019-10-28,42.650361,-75.605889,"N","SODIUM",16700,"ug/L"
423902074062501,2021-08-26,42.650831,-74.107219,"N","SODIUM",17900,"ug/L"
423913077311101,2013-07-23,42.654083,-77.520194,"N","SODIUM",1870,"ug/L"
423919073553801,2018-07-31,42.655356,-73.926792,"N","SODIUM",126000,"ug/L"
423938075024001,2014-07-07,42.661528,-75.043722,"N","SODIUM",43100,"ug/L"
424025076321001,2012-08-22,42.67386,-76.535769,"N","SODIUM",14900,"ug/L"
424025076321001,2017-12-20,42.67386,-76.535769,"N","SODIUM",13300,"ug/L"
