FID,Shape,OBJECTID,FIN,ACRES,SHORELINE_,WATER,SHAPE_AREA,SHAPE_LEN,POLY_AREA,PERIMETER
8356,Polygon ZM,7383,C-15-P110-6-P114-5-7-P164,11.7,0.7,Little Rainbow Pond,47428.32335,1097.492076,11.719784,1097.492076
8357,Polygon ZM,7384,C-15-50-2-P5105,1.7,0.3,Unnamed Water,6985.183663,509.999268,1.726075,509.999268
8358,Polygon ZM,7385,C-P188,10.7,0.5,Sunday Pond,43230.14356,766.14055,10.682392,766.14055
8359,Polygon ZM,7386,C-15-19-P5050,3.1,0.3,Unnamed Water,12453.31246,556.705683,3.077278,556.705683
8360,Polygon ZM,7387,C-15-P110-6-P114-5-7-P161,456.6,6.4,Hoel Pond,1847889.814,10255.72056,456.623114,10255.72056
8361,Polygon ZM,7388,C-P179,3.8,0.3,Unnamed Water,15541.83941,459.015117,3.840469,459.015117
8362,Polygon ZM,7389,C-P56,8.1,0.4,Chub Pond,32637.25057,664.472928,8.064833,664.472928
8373,Polygon ZM,7716,C-15-P207,15.9,0.9,Tamarack Pond,64299.456,1472.736516,15.888728,1472.736516
8374,Polygon ZM,7717,C-15-P110-6-P114-5-P125,209.4,3.4,Square Pond,847374.4932,5503.300978,209.390612,5503.300978
8375,Polygon ZM,7718,C-P131,2.4,0.3,Amphitheater Pond,9732.864184,420.566446,2.405041,420.566446
8376,Polygon ZM,7719,C-15-22-P66-P70-1-P63,0.5,0.1,Unnamed Water,2170.267081,181.696122,0.536284,181.696122
8377,Polygon ZM,7720,C-15-P110-6-P114-5-7-P149-2-P5153,2.1,0.2,Dry Lake,8331.301244,379.092113,2.058708,379.092113
8378,Polygon ZM,7721,C-15-54-P5134,5.4,0.7,Unnamed Water,21655.03159,1136.470951,5.35107,1136.470951
8379,Polygon ZM,7722,C-15-P110-6-P114-5-5-P143,60.8,1.9,Middle Pond,245920.4911,3100.743006,60.768223,3100.743006
8380,Polygon ZM,7723,C-15-P110-6-P114-5-2-P116,490.4,9.1,Follensby Clear Pond,1984635.263,14612.78153,490.41362,14612.78153
8381,Polygon ZM,7724,C-15-P110-6-P114-5-7-P160,68.6,2.2,Turtle Pond,277520.5231,3577.257505,68.576754,3577.257505
8382,Polygon ZM,7725,C-P5082,1.6,0.3,Unnamed Water,6648.940574,526.576417,1.642988,526.576417
8383,Polygon ZM,7726,C-15-18-11-P35,11.8,0.7,Barnes Pond,47574.57402,1108.389885,11.755923,1108.389885
8405,Polygon ZM,9596,H-240-180-74-6-P850,104.695643,2.310312,Wilmurt Lake,423689.9315,3718.094392,104.69597,3718.094392
8406,Polygon ZM,9597,H-240-144-34-P771,18.511954,0.867302,Redlouse Lake,74915.52034,1395.789849,18.512012,1395.789849
8408,Polygon ZM,8416,H-240-180-74-16-1-P856,16.943472,1.067885,South Twin Pond,68568.07171,1718.59824,16.943525,1718.59824
